horizon_day,MAE,RMSE,R2
1,546.7474560211898,2007.293507146692,0.9226617956009694
2,1005.8512132358953,3399.079212319193,0.7782756220260385
3,1319.4124946344452,4094.156516498084,0.678357675935229
4,1545.3042205426832,4492.800354822694,0.612709310279796
5,1712.4067335094812,4750.020132933602,0.5671230943469117
6,1832.9344039853192,4907.333711277699,0.5380152014392918
7,1920.9041129053046,5002.798531250695,0.5199046247131127
8,1992.5765578383305,4996.537782467345,0.5211528188417927
9,2071.8982266596063,4984.503615219405,0.5235449712775799
10,2147.8051088984075,5004.841793595768,0.519919339835961
